ID,YearBuilt,SqFt,Story,Acres,Baths,Fireplaces,Zip,Value
1,1990,2102,1,0.77,,1,27603,203200
2,1986,1740,1.5,0.06,3,1,27604,119096
3,1955,795,1,0.3,1,0,27610,71666
4,1983,1152,1,0.68,2,0,27616,131103
5,2003,1404,1,39.38,2,0,27519,4904102
6,1924,1829,1.5,0.25,3,1,27607,496425
7,1980,1246,1,0.29,2,1,27511,169187
8,1989,2264,2,0.25,2.5,1,27609,243092
9,1994,3483,2.5,0.36,3,1,27519,432516
10,1970,1646,1.5,0.29,2,0,27606,192794
11,1990,1188,1,0.45,1,0,27610,58116
12,1930,1657,1.5,0.16,1,1,27604,394694
13,1973,1383,1,0.46,2,1,27545,135298
14,1985,1212,1.5,0.85,2,1,27545,124355
15,1975,2174,1,0.41,2.5,1,27511,230827
16,1992,1590,1.5,0.17,2.5,1,27511,213300
17,1981,1901,2,0.26,2.5,1,27615,226295
18,1959,1911,1,0.28,3,1,27607,318360
19,1984,3103,2,0.95,2.5,1,27615,410025
20,1959,2514,1.75,0.85,1,1,27617,263585
21,1992,4071,1.75,0.32,3,2,27518,483528
22,1986,1852,2,0.27,2.5,0,27609,218228
23,1988,1178,1,0.16,2,1,27616,119323
24,1961,1620,1,0.61,2,1,27529,128105
25,1992,2978,2,0.73,2,1,27526,326287
26,1992,2851,2,0.22,3,1,27513,328222
27,1992,1638,1.75,0.25,2.5,1,27513,180856
28,1944,1494,1.5,0.16,2,1,27607,300993
29,1960,1483,1,0.31,1.5,1,27529,130450
30,1962,1547,1,1,1.5,1,27562,96569
31,1909,705,1,0.08,1,0,27601,38490
32,1991,1254,1,1.1,2,0,27545,125929
33,1949,720,1.5,0,1,0,27605,136695
34,1971,1168,1,0.2,1.5,0,27604,127708
35,1982,1036,1,0.18,1.5,0,27606,90091
36,1982,1400,2,0.04,2.5,1,27615,111007
37,1958,1056,1,0.2,1,0,27604,158149
38,1986,1704,2,0.2,2.5,1,27616,142576
39,1963,2280,1,0.36,3,1,27609,313633
40,1980,1556,1,1.17,2,1,27539,215196
41,1989,1664,2,0.21,2.5,1,27613,198737
42,1985,2532,2,1.53,2.5,1,27613,341050
43,1965,816,1,0.39,1,0,27529,32184
44,1976,1285,1,0.2,1.5,1,27604,122742
45,1972,1140,2,0,1,0,27606,61829
46,1960,1546,1,0.4,2,1,27609,267028
47,1985,1476,2,0.05,2.5,1,27511,160196
48,1973,1219,1,0.21,1.5,0,27610,97958
49,1984,2553,2,0.36,2,1,27511,317717
50,1949,1272,1,0.33,1,0,27560,128121
51,1987,1080,1,0.3,2,1,27511,159332
52,1967,2112,1,0.33,2.5,1,27511,195396
53,1987,968,1,0,1.5,1,27612,89871
54,1964,1008,1,0.33,1,0,27610,90040
55,1986,1771,1.75,0.26,2.5,1,27615,233238
56,1984,1316,2,0.14,2.5,1,27613,177132
57,1994,2847,1.5,0.36,2,1,27615,432023
58,1998,1782,1,0.71,2,1,27603,132597
59,1972,1795,1.75,0.3,2,0,27529,154726
60,1952,2044,1,0.42,1.5,1,27608,523366
61,1992,2145,2,1.11,2.5,1,27526,250180
62,1969,1558,1,0.35,2,1,27529,150637
63,1990,2912,2,0.36,2,1,27613,379166
64,1989,2895,1.75,0.98,2,1,27606,424333
65,1975,1336,1,0.37,2,1,27529,163800
66,1984,784,1,0.59,2,0,27610,42193
67,1981,1984,2,0.86,2.5,1,27612,324032
68,1986,1194,1,0.46,2,1,27545,115865
69,1983,1146,1,0.28,2,1,27511,147948
70,1976,1140,1,0.04,2,1,27607,153148
71,1986,1312,2,0.03,2.5,0,27604,91833
72,1976,1296,1,0.43,2,1,27529,122492
73,1972,2194,2,0.04,2.5,0,27607,184484
74,1982,1740,1.5,0.26,2,1,27607,355716
75,1986,2535,2,1.26,2.5,1,27614,431468
76,1978,1589,1,1.43,2,1,27603,187539
77,1960,1740,1,0.47,2,1,27529,92749
78,1989,4650,1.5,0.49,3,1,27608,1113750
79,1978,1240,1,0.32,2,1,27511,156724
80,1981,1764,1,0.66,2,1,27612,320419
81,1972,2921,1,0.63,3,1,27511,230304
82,1984,1130,1,0.24,2,1,27502,140368
83,1972,2346,1,0.27,2.5,1,27511,219985
84,1996,2016,1,0.33,2,0,27606,198937
85,1960,1792,1,0.5,2,1,27612,295116
86,1995,2930,2,0.24,2.5,0,27518,349916
87,1955,1068,1,0.3,1,0,27610,90503
88,1955,1448,1,0.56,1,1,27609,201733
89,1956,950,1,0.71,1,0,27610,106816
90,1991,1370,1,0.19,2,1,27604,135402
